CNPJ,Ref,Media180,NDias
01380701000166,202606,8070026,122
01380701000166,202607,8002378,124
01380701000166,HOJE,7997773,122
01597187000115,202512,129840064094,126
01597187000115,202601,130378236051,126
01597187000115,202602,130781019518,124
01597187000115,202603,131117172595,123
01597187000115,202604,131378555398,122
01597187000115,202605,131633636684,121
01597187000115,202606,132753216916,122
01597187000115,202607,134271189909,124
01597187000115,HOJE,134494317332,122
01630558000113,202512,66620927592,126
01630558000113,202601,66189850363,126
01630558000113,202602,65818385523,124
01630558000113,202603,65534503261,123
01630558000113,202604,65305743042,122
01630558000113,202605,64992074089,121
01630558000113,202606,65276348368,122
01630558000113,202607,66013485658,124
01630558000113,HOJE,66124197181,122
01822655000108,202512,2930471012,126
01822655000108,202601,2919668439,126
01822655000108,202602,2910645613,124
01822655000108,202603,2900188016,123
01822655000108,202604,2898540378,122
01822655000108,202605,2909601598,121
01822655000108,202606,2925240799,122
01822655000108,202607,2944262752,124
01822655000108,HOJE,2947931590,122
02224382000162,202512,12676061430,126
02224382000162,202601,12869354673,126
02224382000162,202602,13018321096,124
02224382000162,202603,13141296849,123
02224382000162,202604,13180876043,122
02224382000162,202605,13186242074,121
02224382000162,202606,13220377428,122
02224382000162,202607,13270134194,124
02224382000162,HOJE,13275623529,122
02296928000190,202512,2887467359,126
02296928000190,202601,2975208542,126
02296928000190,202602,3058025471,124
02296928000190,202603,3129904563,123
02296928000190,202604,3185134386,122
02296928000190,202605,3225299749,121
02296928000190,202606,3267704257,122
02296928000190,202607,3308477401,124
02296928000190,HOJE,3311860258,122
02846259000183,202512,152944104,126
02846259000183,202601,153589005,126
02846259000183,202602,147563266,124
02846259000183,202603,139477032,123
02846259000183,202604,131721327,122
02846259000183,202605,125662922,121
02846259000183,202606,118738898,122
02846259000183,202607,129431760,124
02846259000183,HOJE,131427162,122
02998164000185,202512,34747538,126
02998164000185,202601,34843757,126
02998164000185,202602,35004635,124
02998164000185,202603,34745613,123
02998164000185,202604,34320358,122
02998164000185,202605,33820798,121
02998164000185,202606,33629980,122
02998164000185,202607,30509785,124
02998164000185,HOJE,29790280,122
03099639000164,202512,207846411,126
03099639000164,202601,209784164,126
03099639000164,202602,209457486,124
03099639000164,202603,208591679,123
03099639000164,202604,207864835,122
03099639000164,202605,205766297,121
03099639000164,202606,202238913,122
03099639000164,202607,198599107,124
03099639000164,HOJE,198233760,122
03369970000157,202512,61747594,126
